description,goal,pledged,outcome,backers_count,country,currency,launch_date,end_date,category_id,subcategory_id
Balanced upward-trending productivity,2500.0,13684.0,successful,268,US,USD,2020-05-30,2021-06-13,cat3,subcat9
Centralized clear-thinking solution,3200.0,13264.0,successful,195,DK,DKK,2020-10-30,2021-11-15,cat4,subcat4
Optimized bi-directional extranet,183800.0,1667.0,failed,54,US,USD,2021-05-21,2022-01-07,cat5,subcat11
Intuitive actuating benchmark,9800.0,3349.0,failed,120,US,USD,2020-07-14,2021-03-26,cat3,subcat9
Devolved background project,193400.0,46317.0,failed,579,DK,DKK,2021-12-27,2022-01-14,cat3,subcat3
Reverse-engineered executive emulation,163800.0,78743.0,failed,2072,US,USD,2021-01-08,2021-04-13,cat5,subcat5
Team-oriented clear-thinking matrix,100.0,0.0,failed,0,US,USD,2020-06-17,2021-06-26,cat4,subcat4
Focused coherent methodology,153600.0,107743.0,failed,1796,US,USD,2021-02-01,2021-07-20,cat5,subcat5
Reduced context-sensitive complexity,1300.0,6889.0,successful,186,AU,AUD,2020-06-01,2021-03-30,cat7,subcat12
Decentralized 4thgeneration time-frame,25500.0,45983.0,successful,460,US,USD,2021-04-14,2021-12-07,cat5,subcat7
De-engineered cohesive moderator,7500.0,6924.0,failed,62,IT,EUR,2021-04-08,2021-05-19,cat2,subcat2
Ameliorated explicit parallelism,89900.0,12497.0,failed,347,US,USD,2020-08-27,2021-04-06,cat6,subcat16
Customizable background monitoring,18000.0,166874.0,successful,2528,US,USD,2021-08-10,2021-08-16,cat4,subcat4
Compatible well-modulated budgetary management,2100.0,837.0,failed,19,US,USD,2020-12-26,2021-07-03,cat3,subcat3
Up-sized radical pricing structure,172700.0,193820.0,successful,3657,US,USD,2021-01-06,2022-01-04,cat4,subcat4
Robust zero-defect project,168500.0,119510.0,failed,1258,US,USD,2021-01-01,2022-01-22,cat4,subcat4
Re-engineered mobile task-force,7800.0,9289.0,successful,131,AU,AUD,2021-06-06,2021-07-21,cat5,subcat7
User-centric intangible neural-net,147800.0,35498.0,failed,362,US,USD,2020-12-22,2021-12-21,cat4,subcat4
Organized explicit core,9100.0,12678.0,successful,239,US,USD,2020-06-26,2021-02-13,cat7,subcat12
Synchronized 6thgeneration adapter,8300.0,3260.0,canceled,35,US,USD,2021-07-10,2021-11-02,cat5,subcat20
Centralized motivating capacity,138700.0,31123.0,canceled,528,CH,CHF,2021-01-30,2021-10-19,cat2,subcat2
Phased 24hour flexibility,8600.0,4797.0,failed,133,CA,CAD,2020-10-27,2021-06-27,cat4,subcat4
Exclusive 5thgeneration structure,125400.0,53324.0,failed,846,US,USD,2020-09-03,2021-02-15,cat6,subcat10
Multi-tiered maximized orchestration,5900.0,6608.0,successful,78,US,USD,2021-04-05,2021-06-12,cat1,subcat1
Open-architected uniform instruction set,8800.0,622.0,failed,10,US,USD,2020-12-12,2021-06-28,cat5,subcat11
Exclusive asymmetric analyzer,177700.0,180802.0,successful,1773,US,USD,2020-09-25,2021-03-23,cat2,subcat2
Organic radical collaboration,800.0,3406.0,successful,32,US,USD,2020-08-13,2021-05-22,cat4,subcat4
Function-based multi-state software,7600.0,11061.0,successful,369,US,USD,2021-04-01,2021-11-07,cat5,subcat7
Innovative static budgetary management,50500.0,16389.0,failed,191,US,USD,2021-03-12,2021-10-24,cat5,subcat13
Triple-buffered holistic ability,900.0,6303.0,successful,89,US,USD,2020-08-02,2021-03-16,cat5,subcat13
Diverse scalable superstructure,96700.0,81136.0,failed,1979,US,USD,2020-06-15,2021-05-29,cat4,subcat4
Balanced leadingedge data-warehouse,2100.0,1768.0,failed,63,US,USD,2021-05-01,2021-09-02,cat3,subcat9
Digitized bandwidth-monitored open architecture,8300.0,12944.0,successful,147,US,USD,2021-09-20,2021-09-27,cat4,subcat4
Enterprise-wide intermediate portal,189200.0,188480.0,failed,6080,CA,CAD,2021-05-16,2021-07-22,cat5,subcat11
Focused leadingedge matrix,9000.0,7227.0,failed,80,GB,GBP,2020-05-24,2021-05-26,cat2,subcat8
Seamless logistical encryption,5100.0,574.0,failed,9,US,USD,2020-04-29,2021-04-04,cat7,subcat12
Stand-alone human-resource workforce,105000.0,96328.0,failed,1784,US,USD,2021-05-05,2021-05-26,cat6,subcat14
Automated zero tolerance implementation,186700.0,178338.0,live,3640,CH,CHF,2020-05-28,2021-05-29,cat7,subcat12
Pre-emptive grid-enabled contingency,1600.0,8046.0,successful,126,CA,CAD,2021-01-25,2021-02-05,cat4,subcat4
Multi-lateral didactic encoding,115600.0,184086.0,successful,2218,GB,GBP,2021-01-04,2021-04-11,cat2,subcat8
Self-enabling didactic orchestration,89100.0,13385.0,failed,243,US,USD,2021-05-23,2021-06-25,cat5,subcat7
Profit-focused 24/7 data-warehouse,2600.0,12533.0,successful,202,IT,EUR,2021-01-28,2022-01-02,cat4,subcat4
Enhanced methodical middleware,9800.0,14697.0,successful,140,IT,EUR,2020-10-14,2021-05-30,cat6,subcat14
Synchronized client-driven projection,84400.0,98935.0,successful,1052,DK,DKK,2020-10-10,2021-04-18,cat5,subcat5
Networked didactic time-frame,151300.0,57034.0,failed,1296,US,USD,2020-10-11,2021-06-07,cat7,subcat21
Assimilated exuding toolset,9800.0,7120.0,failed,77,US,USD,2021-01-13,2021-05-05,cat1,subcat1
Front-line client-server secured line,5300.0,14097.0,successful,247,US,USD,2020-03-08,2021-02-26,cat8,subcat15
Polarized systemic Internet solution,178000.0,43086.0,failed,395,IT,EUR,2020-09-17,2021-05-25,cat7,subcat21
Profit-focused exuding moderator,77000.0,1930.0,failed,49,GB,GBP,2021-03-04,2021-09-21,cat2,subcat8
Cross-group high-level moderator,84900.0,13864.0,failed,180,US,USD,2021-01-28,2021-08-11,cat7,subcat12
Public-key 3rdgeneration system engine,2800.0,7742.0,successful,84,US,USD,2020-08-02,2021-05-24,cat2,subcat2
Organized value-added access,184800.0,164109.0,failed,2690,US,USD,2021-01-11,2021-12-28,cat4,subcat4
Cloned global Graphical User Interface,4200.0,6870.0,successful,88,US,USD,2020-12-17,2021-08-09,cat4,subcat4
Focused solution-oriented matrix,1300.0,12597.0,successful,156,US,USD,2021-06-20,2022-01-31,cat5,subcat7
Monitored discrete toolset,66100.0,179074.0,successful,2985,US,USD,2021-10-19,2022-02-23,cat4,subcat4
Business-focused intermediate system engine,29500.0,83843.0,successful,762,US,USD,2021-05-21,2021-07-20,cat3,subcat9
De-engineered disintermediate encoding,100.0,4.0,canceled,1,CH,CHF,2021-06-18,2021-11-12,cat2,subcat8
Streamlined upward-trending analyzer,180100.0,105598.0,failed,2779,AU,AUD,2021-01-11,2021-03-30,cat3,subcat3
Distributed human-resource policy,9000.0,8866.0,failed,92,US,USD,2020-12-04,2021-05-27,cat4,subcat4
De-engineered 5thgeneration contingency,170600.0,75022.0,failed,1028,US,USD,2020-12-11,2021-05-26,cat2,subcat2
Multi-channeled upward-trending application,9500.0,14408.0,successful,554,CA,CAD,2020-12-25,2021-07-12,cat2,subcat8
Organic maximized database,6300.0,14089.0,successful,135,DK,DKK,2020-05-09,2021-05-01,cat2,subcat2
Grass-roots 24/7 attitude,5200.0,12467.0,successful,122,US,USD,2020-04-01,2021-03-01,cat6,subcat19
Team-oriented global strategy,6000.0,11960.0,successful,221,US,USD,2021-06-14,2021-08-18,cat5,subcat23
Enhanced client-driven capacity,5800.0,7966.0,successful,126,US,USD,2020-08-03,2021-03-30,cat4,subcat4
Exclusive systematic productivity,105300.0,106321.0,successful,1022,US,USD,2020-09-19,2021-05-22,cat4,subcat4
Re-engineered radical policy,20000.0,158832.0,successful,3177,US,USD,2021-06-21,2022-02-07,cat5,subcat11
Down-sized logistical adapter,3000.0,11091.0,successful,198,CH,CHF,2021-03-03,2021-11-19,cat4,subcat4
Configurable bandwidth-monitored throughput,9900.0,1269.0,failed,26,CH,CHF,2021-02-05,2021-11-04,cat2,subcat2
Optional tangible pricing structure,3700.0,5107.0,successful,85,AU,AUD,2021-03-29,2021-09-29,cat5,subcat5
Organic high-level implementation,168700.0,141393.0,failed,1790,US,USD,2020-04-27,2021-05-18,cat4,subcat4
Decentralized logistical collaboration,94900.0,194166.0,successful,3596,US,USD,2021-01-20,2021-05-11,cat4,subcat4
Advanced content-based installation,9300.0,4124.0,failed,37,US,USD,2021-09-04,2021-11-29,cat2,subcat6
Distributed high-level open architecture,6800.0,14865.0,successful,244,US,USD,2020-11-01,2021-06-12,cat2,subcat2
Synergized zero tolerance help-desk,72400.0,134688.0,successful,5180,US,USD,2020-06-21,2021-05-21,cat4,subcat4
Extended multi-tasking definition,20100.0,47705.0,successful,589,IT,EUR,2021-06-08,2022-01-21,cat5,subcat11
Realigned uniform knowledge user,31200.0,95364.0,successful,2725,US,USD,2021-06-07,2021-10-31,cat2,subcat2
Monitored grid-enabled model,3500.0,3295.0,failed,35,IT,EUR,2021-05-16,2021-10-11,cat5,subcat13
Assimilated actuating policy,9000.0,4896.0,canceled,94,US,USD,2021-02-10,2021-04-08,cat2,subcat2
Total incremental productivity,6700.0,7496.0,successful,300,US,USD,2021-01-04,2021-10-04,cat9,subcat24
Adaptive local task-force,2700.0,9967.0,successful,144,US,USD,2020-06-25,2021-05-27,cat1,subcat1
Universal zero-defect concept,83300.0,52421.0,failed,558,US,USD,2021-04-09,2021-11-29,cat4,subcat4
Object-based bottom-line superstructure,9700.0,6298.0,failed,64,US,USD,2021-05-10,2021-06-30,cat4,subcat4
Adaptive 24hour projection,8200.0,1546.0,canceled,37,US,USD,2021-10-08,2021-11-27,cat2,subcat18
Sharable radical toolset,96500.0,16168.0,failed,245,US,USD,2021-04-29,2021-12-14,cat5,subcat23
Focused multimedia knowledgebase,6200.0,6269.0,successful,87,US,USD,2020-05-01,2021-04-13,cat2,subcat18
Seamless 6thgeneration extranet,43800.0,149578.0,successful,3116,US,USD,2020-06-28,2021-06-05,cat4,subcat4
Sharable mobile knowledgebase,6000.0,3841.0,failed,71,US,USD,2021-02-15,2021-05-05,cat3,subcat3
Cross-group global system engine,8700.0,4531.0,failed,42,US,USD,2020-08-11,2021-10-08,cat7,subcat12
Centralized clear-thinking conglomeration,18900.0,60934.0,successful,909,US,USD,2020-10-17,2021-07-31,cat5,subcat5
De-engineered cohesive system engine,86400.0,103255.0,successful,1613,US,USD,2020-10-12,2021-10-21,cat3,subcat3
Reactive analyzing function,8900.0,13065.0,successful,136,US,USD,2020-08-15,2021-07-04,cat6,subcat19
Robust hybrid budgetary management,700.0,6654.0,successful,130,US,USD,2021-07-16,2021-12-17,cat2,subcat2
Open-source analyzing monitoring,9400.0,6852.0,failed,156,CA,CAD,2021-01-15,2021-04-08,cat1,subcat1
Up-sized discrete firmware,157600.0,124517.0,failed,1368,GB,GBP,2021-01-13,2021-11-02,cat4,subcat4
Exclusive intangible extranet,7900.0,5113.0,failed,102,US,USD,2020-08-11,2021-06-25,cat5,subcat5
Synergized analyzing process improvement,7100.0,5824.0,failed,86,AU,AUD,2021-01-20,2021-04-29,cat6,subcat16
Realigned dedicated system engine,600.0,6226.0,successful,102,US,USD,2020-10-27,2021-09-11,cat7,subcat12
Object-based bandwidth-monitored concept,156800.0,20243.0,failed,253,US,USD,2021-09-19,2021-12-04,cat4,subcat4
Ameliorated client-driven open system,121600.0,188288.0,successful,4006,US,USD,2021-01-05,2021-11-27,cat5,subcat11
Upgradable leadingedge Local Area Network,157300.0,11167.0,failed,157,US,USD,2020-10-18,2021-02-25,cat4,subcat4
Customizable intermediate data-warehouse,70300.0,146595.0,successful,1629,US,USD,2021-05-01,2021-09-16,cat4,subcat4
Managed optimizing archive,7900.0,7875.0,failed,183,US,USD,2021-12-23,2021-12-26,cat5,subcat7
Diverse systematic projection,73800.0,148779.0,successful,2188,US,USD,2020-10-17,2021-06-01,cat4,subcat4
Up-sized web-enabled info-mediaries,108500.0,175868.0,successful,2409,IT,EUR,2021-01-06,2021-10-27,cat2,subcat2
Persevering optimizing Graphical User Interface,140300.0,5112.0,failed,82,DK,DKK,2020-09-20,2021-06-27,cat5,subcat5
Cross-platform tertiary array,100.0,5.0,failed,1,GB,GBP,2021-04-20,2021-06-30,cat1,subcat1
Inverse neutral structure,6300.0,13018.0,successful,194,US,USD,2021-08-12,2022-01-16,cat3,subcat9
Quality-focused system-worthy support,71100.0,91176.0,successful,1140,US,USD,2020-11-08,2021-05-21,cat4,subcat4
Vision-oriented 5thgeneration array,5300.0,6342.0,successful,102,US,USD,2021-02-16,2021-11-04,cat4,subcat4
Cross-platform logistical circuit,88700.0,151438.0,successful,2857,US,USD,2021-03-27,2021-10-01,cat4,subcat4
Profound solution-oriented matrix,3300.0,6178.0,successful,107,US,USD,2021-01-04,2021-07-28,cat6,subcat10
Extended asynchronous initiative,3400.0,6405.0,successful,160,GB,GBP,2021-05-13,2021-08-21,cat2,subcat2
Fundamental needs-based frame,137600.0,180667.0,successful,2230,US,USD,2020-08-29,2021-08-05,cat1,subcat1
Compatible full-range leverage,3900.0,11075.0,successful,316,US,USD,2021-02-28,2021-05-08,cat2,subcat18
Upgradable holistic system engine,10000.0,12042.0,successful,117,US,USD,2021-09-28,2021-10-04,cat5,subcat23
Stand-alone multi-state data-warehouse,42800.0,179356.0,successful,6406,US,USD,2021-09-30,2022-02-01,cat4,subcat4
Multi-lateral maximized core,8200.0,1136.0,canceled,15,US,USD,2021-03-05,2021-07-02,cat4,subcat4
Innovative holistic hub,6200.0,8645.0,successful,192,US,USD,2021-09-10,2021-11-05,cat2,subcat6
Reverse-engineered 24/7 methodology,1100.0,1914.0,successful,26,CA,CAD,2020-08-21,2021-08-03,cat4,subcat4
Business-focused dynamic info-mediaries,26500.0,41205.0,successful,723,US,USD,2021-04-06,2021-12-17,cat4,subcat4
Digitized clear-thinking installation,8500.0,14488.0,successful,170,IT,EUR,2021-06-28,2021-11-20,cat4,subcat4
Quality-focused 24/7 superstructure,6400.0,12129.0,successful,238,GB,GBP,2020-09-06,2021-08-01,cat2,subcat8
Multi-channeled local intranet,1400.0,3496.0,successful,55,US,USD,2021-01-18,2021-12-31,cat4,subcat4
Open-architected mobile emulation,198600.0,97037.0,failed,1198,US,USD,2020-11-10,2021-10-30,cat6,subcat10
Ameliorated foreground methodology,195900.0,55757.0,failed,648,US,USD,2020-02-28,2021-03-01,cat4,subcat4
Synergized well-modulated project,4300.0,11525.0,successful,128,AU,AUD,2021-02-25,2021-05-07,cat8,subcat15
Extended context-sensitive forecast,25600.0,158669.0,successful,2144,US,USD,2021-12-03,2021-12-31,cat4,subcat4
Total leadingedge neural-net,189000.0,5916.0,failed,64,US,USD,2021-03-10,2021-05-26,cat2,subcat8
Organic actuating protocol,94300.0,150806.0,successful,2693,GB,GBP,2020-04-24,2021-02-24,cat4,subcat4
Down-sized national software,5100.0,14249.0,successful,432,US,USD,2020-05-09,2021-05-22,cat8,subcat15
Organic upward-trending Graphical User Interface,7500.0,5803.0,failed,62,US,USD,2020-07-05,2021-06-08,cat4,subcat4
Synergistic tertiary budgetary management,6400.0,13205.0,successful,189,US,USD,2020-11-03,2021-06-03,cat4,subcat4
Open-architected incremental ability,1600.0,11108.0,successful,154,GB,GBP,2020-11-18,2021-08-05,cat1,subcat1
Intuitive object-oriented task-force,1900.0,2884.0,successful,96,US,USD,2021-02-23,2021-02-28,cat2,subcat8
Multi-tiered executive toolset,85900.0,55476.0,failed,750,US,USD,2021-04-05,2022-01-19,cat4,subcat4
Grass-roots directional workforce,9500.0,5973.0,canceled,87,US,USD,2021-08-30,2021-12-01,cat4,subcat4
Quality-focused real-time solution,59200.0,183756.0,successful,3063,US,USD,2021-08-21,2022-01-26,cat4,subcat4
Reduced interactive matrix,72100.0,30902.0,live,278,US,USD,2021-01-05,2021-07-21,cat4,subcat4
Adaptive context-sensitive architecture,6700.0,5569.0,failed,105,US,USD,2021-09-28,2021-12-17,cat5,subcat11
Polarized incremental portal,118200.0,92824.0,canceled,1658,US,USD,2021-08-29,2021-09-24,cat5,subcat20
Reactive regional access,139000.0,158590.0,successful,2266,US,USD,2021-01-14,2021-02-16,cat5,subcat20
Stand-alone reciprocal frame,197700.0,127591.0,failed,2604,DK,DKK,2021-04-30,2021-12-26,cat5,subcat11
Open-architected 24/7 throughput,8500.0,6750.0,failed,65,US,USD,2021-01-14,2021-11-04,cat4,subcat4
Monitored 24/7 approach,81600.0,9318.0,failed,94,US,USD,2020-04-12,2021-01-14,cat4,subcat4
Upgradable explicit forecast,8600.0,4832.0,live,45,US,USD,2021-03-02,2021-12-02,cat5,subcat7
Pre-emptive context-sensitive support,119800.0,19769.0,failed,257,US,USD,2020-11-08,2021-07-24,cat4,subcat4
Business-focused leadingedge instruction set,9400.0,11277.0,successful,194,CH,CHF,2021-05-08,2021-09-15,cat4,subcat4
Extended multi-state knowledge user,9200.0,13382.0,successful,129,CA,CAD,2021-02-13,2021-10-21,cat3,subcat9
Future-proofed modular groupware,14900.0,32986.0,successful,375,US,USD,2020-06-05,2021-04-22,cat4,subcat4
Distributed real-time algorithm,169400.0,81984.0,failed,2928,CA,CAD,2021-03-15,2021-10-01,cat4,subcat4
Multi-lateral heuristic throughput,192100.0,178483.0,failed,4697,US,USD,2021-04-25,2021-10-10,cat2,subcat2
Switchable reciprocal middleware,98700.0,87448.0,failed,2915,US,USD,2021-01-25,2021-11-24,cat7,subcat12
Inverse multimedia Graphic Interface,4500.0,1863.0,failed,18,US,USD,2021-04-10,2021-04-25,cat6,subcat19
Vision-oriented local contingency,98600.0,62174.0,canceled,723,US,USD,2021-05-06,2021-06-22,cat1,subcat1
Reactive 6thgeneration hub,121700.0,59003.0,failed,602,CH,CHF,2021-04-29,2021-11-21,cat4,subcat4
Optional asymmetric success,100.0,2.0,failed,1,US,USD,2021-06-11,2021-10-26,cat2,subcat18
Digitized analyzing capacity,196700.0,174039.0,failed,3868,IT,EUR,2021-08-01,2021-12-27,cat5,subcat13
Vision-oriented regional hub,10000.0,12684.0,successful,409,US,USD,2020-10-17,2021-08-24,cat3,subcat3
Monitored incremental info-mediaries,600.0,14033.0,successful,234,US,USD,2020-05-06,2021-05-31,cat3,subcat3
Programmable static middleware,35000.0,177936.0,successful,3016,US,USD,2020-07-04,2021-03-31,cat2,subcat17
Multi-layered bottom-line encryption,6900.0,13212.0,successful,264,US,USD,2020-07-30,2021-07-03,cat8,subcat15
Vision-oriented systematic Graphical User Interface,118400.0,49879.0,failed,504,AU,AUD,2021-02-07,2021-06-11,cat1,subcat1
Balanced optimal hardware,10000.0,824.0,failed,14,US,USD,2020-11-17,2021-09-22,cat5,subcat23
Self-enabling mission-critical success,52600.0,31594.0,canceled,390,US,USD,2021-04-24,2021-08-05,cat2,subcat2
Grass-roots dynamic emulation,120700.0,57010.0,failed,750,GB,GBP,2021-06-19,2022-01-03,cat5,subcat5
Fundamental disintermediate matrix,9100.0,7438.0,failed,77,US,USD,2021-04-01,2021-04-11,cat4,subcat4
Right-sized secondary challenge,106800.0,57872.0,failed,752,DK,DKK,2021-08-27,2021-12-19,cat2,subcat18
Implemented exuding software,9100.0,8906.0,failed,131,US,USD,2021-01-23,2021-04-17,cat4,subcat4
Total optimizing software,10000.0,7724.0,failed,87,US,USD,2020-12-09,2021-06-14,cat4,subcat4
Optional maximized attitude,79400.0,26571.0,failed,1063,US,USD,2020-05-20,2021-02-06,cat2,subcat18
Customer-focused impactful extranet,5100.0,12219.0,successful,272,US,USD,2020-10-29,2021-03-25,cat5,subcat5
Cloned bottom-line success,3100.0,1985.0,canceled,25,US,USD,2020-12-21,2021-02-24,cat4,subcat4
Decentralized bandwidth-monitored ability,6900.0,12155.0,successful,419,US,USD,2021-01-25,2021-04-18,cat9,subcat24
Programmable leadingedge budgetary management,27500.0,5593.0,failed,76,US,USD,2021-06-08,2022-01-03,cat4,subcat4
Upgradable bi-directional concept,48800.0,175020.0,successful,1621,IT,EUR,2020-12-21,2021-12-15,cat4,subcat4
Re-contextualized homogeneous flexibility,16200.0,75955.0,successful,1101,US,USD,2020-07-03,2021-05-18,cat2,subcat8
Monitored bi-directional standardization,97600.0,119127.0,successful,1073,US,USD,2020-08-29,2021-06-14,cat4,subcat4
Stand-alone grid-enabled leverage,197900.0,110689.0,failed,4428,AU,AUD,2021-09-18,2021-11-30,cat4,subcat4
Assimilated regional groupware,5600.0,2445.0,failed,58,IT,EUR,2021-03-31,2021-12-04,cat2,subcat8
Up-sized 24hour instruction set,170700.0,57250.0,canceled,1218,US,USD,2021-05-14,2021-08-08,cat8,subcat15
Right-sized web-enabled intranet,9700.0,11929.0,successful,331,US,USD,2022-02-01,2022-02-16,cat9,subcat24
Expanded needs-based orchestration,62300.0,118214.0,successful,1170,US,USD,2021-03-10,2022-01-12,cat8,subcat15
Organic system-worthy orchestration,5300.0,4432.0,failed,111,US,USD,2021-06-08,2021-12-27,cat6,subcat14
Inverse static standardization,99500.0,17879.0,canceled,215,US,USD,2021-02-27,2021-11-23,cat5,subcat7
Synchronized motivating solution,1400.0,14511.0,successful,363,US,USD,2020-10-11,2021-04-05,cat1,subcat1
Open-source 4thgeneration open system,145600.0,141822.0,failed,2955,US,USD,2020-02-14,2021-04-06,cat7,subcat21
Decentralized context-sensitive superstructure,184100.0,159037.0,failed,1657,US,USD,2021-03-11,2021-07-05,cat4,subcat4
Compatible 5thgeneration concept,5400.0,8109.0,successful,103,US,USD,2020-09-13,2021-02-12,cat4,subcat4
Virtual systemic intranet,2300.0,8244.0,successful,147,US,USD,2021-01-30,2021-04-09,cat4,subcat4
Optimized systemic algorithm,1400.0,7600.0,successful,110,CA,CAD,2020-12-09,2021-07-17,cat6,subcat10
Customizable homogeneous firmware,140000.0,94501.0,failed,926,CA,CAD,2021-04-14,2022-01-07,cat4,subcat4
Front-line cohesive extranet,7500.0,14381.0,successful,134,US,USD,2020-11-01,2021-10-22,cat3,subcat9
Distributed holistic neural-net,1500.0,13980.0,successful,269,US,USD,2021-01-11,2021-04-21,cat4,subcat4
Devolved client-server monitoring,2900.0,12449.0,successful,175,US,USD,2021-01-18,2021-08-14,cat5,subcat20
Seamless directional capacity,7300.0,7348.0,successful,69,US,USD,2020-09-11,2021-06-19,cat3,subcat3
Polarized actuating implementation,3600.0,8158.0,successful,190,US,USD,2021-10-05,2021-11-24,cat5,subcat5
Front-line disintermediate hub,5000.0,7119.0,successful,237,US,USD,2021-02-04,2021-08-14,cat5,subcat5
Decentralized 4thgeneration challenge,6000.0,5438.0,failed,77,GB,GBP,2020-11-19,2021-10-20,cat2,subcat2
Reverse-engineered composite hierarchy,180400.0,115396.0,failed,1748,US,USD,2020-10-09,2021-06-26,cat4,subcat4
Programmable tangible ability,9100.0,7656.0,failed,79,US,USD,2021-01-09,2021-08-01,cat4,subcat4
Configurable full-range emulation,9200.0,12322.0,successful,196,IT,EUR,2021-04-10,2021-04-20,cat2,subcat2
Total real-time hardware,164100.0,96888.0,failed,889,US,USD,2021-03-22,2021-09-20,cat4,subcat4
Profound system-worthy functionalities,128900.0,196960.0,successful,7295,US,USD,2021-12-15,2022-01-13,cat2,subcat6
Cloned hybrid focus group,42100.0,188057.0,successful,2893,CA,CAD,2020-07-15,2021-03-11,cat3,subcat9
Ergonomic dedicated focus group,7400.0,6245.0,failed,56,US,USD,2020-12-23,2021-09-26,cat5,subcat7
Realigned zero administration paradigm,100.0,3.0,failed,1,US,USD,2020-08-12,2021-04-17,cat3,subcat9
Open-source multi-tasking methodology,52000.0,91014.0,successful,820,US,USD,2021-01-17,2021-09-09,cat4,subcat4
Object-based attitude-oriented analyzer,8700.0,4710.0,failed,83,US,USD,2021-03-05,2021-03-27,cat3,subcat9
Cross-platform tertiary hub,63400.0,197728.0,successful,2038,US,USD,2021-05-01,2021-11-03,cat6,subcat19
Seamless clear-thinking artificial intelligence,8700.0,10682.0,successful,116,US,USD,2020-09-05,2021-04-25,cat5,subcat11
Centralized tangible success,169700.0,168048.0,failed,2025,GB,GBP,2021-08-01,2021-10-05,cat6,subcat10
Customer-focused multimedia methodology,108400.0,138586.0,successful,1345,AU,AUD,2021-04-14,2021-05-30,cat3,subcat3
Visionary maximized Local Area Network,7300.0,11579.0,successful,168,US,USD,2021-03-19,2021-05-17,cat5,subcat7
Secured bifurcated intranet,1700.0,12020.0,successful,137,CH,CHF,2021-04-12,2021-09-07,cat4,subcat4
Grass-roots 4thgeneration product,9800.0,13954.0,successful,186,IT,EUR,2022-01-15,2022-01-20,cat4,subcat4
Reduced next generation info-mediaries,4300.0,6358.0,successful,125,US,USD,2021-04-14,2021-10-08,cat4,subcat4
Customizable full-range artificial intelligence,6200.0,1260.0,failed,14,IT,EUR,2020-05-20,2021-06-23,cat4,subcat4
Programmable leadingedge contingency,800.0,14725.0,successful,202,US,USD,2021-07-16,2021-11-19,cat4,subcat4
Multi-layered global groupware,6900.0,11174.0,successful,103,US,USD,2020-03-14,2021-01-31,cat6,subcat16
Switchable methodical superstructure,38500.0,182036.0,successful,1785,US,USD,2021-03-15,2021-09-22,cat2,subcat2
Expanded even-keeled portal,118000.0,28870.0,failed,656,US,USD,2021-06-16,2021-08-03,cat7,subcat21
Advanced modular moderator,2000.0,10353.0,successful,157,US,USD,2021-04-29,2021-08-15,cat4,subcat4
Reverse-engineered well-modulated ability,5600.0,13868.0,successful,555,US,USD,2021-02-21,2022-01-02,cat5,subcat5
Expanded optimal pricing structure,8300.0,8317.0,successful,297,US,USD,2020-09-13,2021-04-30,cat3,subcat9
Down-sized uniform ability,6900.0,10557.0,successful,123,US,USD,2020-12-02,2021-03-22,cat6,subcat14
Multi-layered upward-trending conglomeration,8700.0,3227.0,canceled,38,DK,DKK,2021-04-14,2021-07-10,cat4,subcat4
Open-architected systematic intranet,123600.0,5429.0,canceled,60,US,USD,2021-07-16,2021-08-17,cat2,subcat2
Proactive 24hour frame,48500.0,75906.0,successful,3036,US,USD,2021-04-10,2021-07-20,cat5,subcat5
Exclusive fresh-thinking model,4900.0,13250.0,successful,144,AU,AUD,2020-11-16,2021-09-14,cat4,subcat4
Business-focused encompassing intranet,8400.0,11261.0,successful,121,GB,GBP,2020-10-22,2021-10-11,cat4,subcat4
Optional 6thgeneration access,193200.0,97369.0,failed,1596,US,USD,2020-12-08,2021-07-28,cat7,subcat21
Realigned web-enabled functionalities,54300.0,48227.0,canceled,524,US,USD,2020-11-25,2021-04-07,cat4,subcat4
Enterprise-wide multimedia software,8900.0,14685.0,successful,181,US,USD,2021-05-01,2021-10-20,cat3,subcat3
Versatile mission-critical knowledgebase,4200.0,735.0,failed,10,US,USD,2021-01-24,2021-04-13,cat4,subcat4
Multi-lateral object-oriented open system,5600.0,10397.0,successful,122,US,USD,2021-12-09,2022-02-02,cat5,subcat7
Visionary system-worthy attitude,28800.0,118847.0,successful,1071,CA,CAD,2021-09-05,2022-02-22,cat3,subcat9
Synergized content-based hierarchy,8000.0,7220.0,canceled,219,US,USD,2021-06-06,2021-07-08,cat3,subcat3
Business-focused 24hour access,117000.0,107622.0,failed,1121,US,USD,2021-05-24,2021-12-31,cat2,subcat2
Automated hybrid orchestration,15800.0,83267.0,successful,980,US,USD,2021-04-01,2022-01-01,cat2,subcat17
Exclusive 5thgeneration leverage,4200.0,13404.0,successful,536,US,USD,2021-07-13,2021-09-17,cat4,subcat4
Grass-roots zero administration alliance,37100.0,131404.0,successful,1991,US,USD,2020-12-17,2021-03-21,cat8,subcat15
Proactive heuristic orchestration,7700.0,2533.0,canceled,29,US,USD,2020-09-21,2021-01-10,cat6,subcat10
Function-based systematic Graphical User Interface,3700.0,5028.0,successful,180,US,USD,2021-07-22,2022-01-03,cat2,subcat8
Extended zero administration software,74700.0,1557.0,failed,15,US,USD,2021-03-23,2021-06-16,cat4,subcat4
Multi-tiered discrete support,10000.0,6100.0,failed,191,US,USD,2020-12-02,2021-05-28,cat2,subcat8
